Label,# 样本,平均值,最小值,最大值,标准偏差,异常 %,吞吐量,接收 KB/sec,发送 KB/sec,平均字节数
10.100.10.9/b-app/c/users/refreshToken,736981,24,0,57419,324.74,1.488%,862.50881,290.21,745.13,344.5
10.100.10.9/b-app/c/customConfigs,736964,23,0,62044,272.01,1.487%,862.50304,323.39,740.98,383.9
10.100.10.9/b-app/c/sites/getExt,736951,23,1,57376,248.69,1.493%,862.52619,677.81,740.12,804.7
10.100.10.9/b-app/c/channels/0/children?pageIndex=1&pageSize=-1,736923,26,1,64563,348.01,1.490%,862.53077,813.35,765.87,965.6
10.100.10.9/b-app/c/channels/byCode/DS/children,1473767,30,1,66061,580.97,1.478%,1725.04378,1513.23,1505.37,898.3
10.100.10.9/b-app/c/channels/206/children?pageIndex=1&pageSize=-1,736854,28,2,66410,431.46,1.465%,862.76204,1159.23,767.93,1375.9
10.100.10.9/b-app/c/startPage?height=2532&width=1170,736827,22,1,64027,258.94,1.486%,862.80923,657.16,757.02,779.9
10.100.10.9/b-app/c/channels/263/children?pageIndex=1&pageSize=-1,736810,27,1,63956,416.71,1.498%,862.81963,684.04,767.72,811.8
10.100.10.9/b-app/c/channels/byCode/SWLDG/docs,736776,25,1,56807,246.86,1.501%,862.88086,290.58,751.99,344.8
10.100.10.9/b-app/c/channels/byCode/WXZSJG/docs,736762,27,2,67924,280.13,1.490%,862.88468,4550.85,752.90,5400.6
10.100.10.9/b-app/c/channels/byCode/JDRX/docs,736743,27,2,67788,285.62,1.486%,862.89072,3694.19,751.28,4383.9
10.100.10.9/b-app/c/channels/byCode/JDRX,736717,26,1,57720,339.68,1.485%,862.88958,634.80,747.14,753.3
10.100.10.9/b-app/c/channels/byCode/RMFW/docs,736694,25,2,66954,277.70,1.481%,862.98292,1643.57,751.40,1950.2
10.100.10.9/b-app/c/channels/byCode/SJ/children/docs,736671,27,0,67697,279.74,1.482%,862.96305,3609.55,757.19,4283.1
10.100.10.9/b-app/c/channels/byCode/WZJX/docs,736648,26,2,67494,275.71,1.490%,862.94420,1510.10,751.30,1791.9
10.100.10.9/b-app/c/channels/byCode/DTJH/firstdocs?pageSize=1,736619,25,1,65824,271.54,1.502%,862.95976,992.21,764.50,1177.4
10.100.10.9/b-app/c/channels/byCode/ZL/children?pageIndex=1&pageSize=-1,736595,31,0,65921,509.21,1.490%,862.95995,1655.52,772.90,1964.5
10.100.10.9/b-app/c/pgcs/hots?pageIndex=1&pageSize=10,736569,21,1,56334,161.41,1.488%,863.28044,815.78,758.25,967.7
10.100.10.9/b-app/c/channels/byCode/TTGG/docs,736554,24,1,13150,110.45,1.471%,913.54855,1001.76,795.51,1122.9
10.100.10.9/b-app/c/channels/238/docs?pageSize=20&uvCookie=EB6F125C102D4C37B5420F04528C2655,736528,26,2,25029,108.36,1.471%,920.15277,5173.99,841.98,5757.9
10.100.10.9/b-app/c/advert,736503,21,1,5909,101.23,1.463%,920.12383,448.14,784.47,498.7
总体,16208456,26,0,67924,332.05,1.485%,18969.01705,31708.32,16614.41,1711.7
